# Restoration Copilot KB seed — 1960s-70s American vintage vehicles.
# Schema + per-category minimums: spec B13 §5. Validated by scripts/seed_restoration_kb.py and scripts/validate_kb_seed.py.
part_id,name,oem_number,aftermarket_alternatives,category,criticality,reference_dimensions_length_mm,reference_dimensions_width_mm,reference_dimensions_height_mm,indicative_price_min_usd,indicative_price_max_usd,indicative_price_mid_usd,interchange
chevy_c10_1972_body_trunk_lid_b,Trunk Lid,5461008,PBR-8066;A1-Cardone-30556,body,optional,1300,1200,70,172,746,459,1971-1973 C10;1970 Chevrolet Chevelle
chevy_camaro_1969_interior_headliner_b,Headliner,5461015,PBR-6663;A1-Cardone-28822,interior,optional,1400,1100,10,56,255,156,1968-1970 Camaro;1969 Chevrolet C10
ford_mustang_1967_brake_front_brake_pad_set_b,Front Brake Pad Set,5461022,PBR-2129;A1-Cardone-18953,brake,critical,150,60,20,17,67,42,1966-1968 Mustang;1965 Ford Mustang
dodge_charger_1968_suspension_ball_joint_b,Ball Joint,5461029,PBR-5909;A1-Cardone-27189,suspension,standard,90,50,50,11,43,27,1967-1969 Charger;1972 Chevrolet C10
chevy_chevelle_1966_engine_engine_mount_a,Engine Mount,5461036,PBR-5143;A1-Cardone-40012,engine,critical,150,100,90,13,52,32,1965-1967 Chevelle;1967 Chevrolet Camaro
chevy_nova_1968_body_front_bumper_b,Front Bumper,5461043,PBR-5957;A1-Cardone-65925,body,optional,1700,200,150,116,532,324,1967-1969 Nova;1970 Dodge Charger
chevy_c10_1967_interior_door_panel_b,Door Panel,5461050,PBR-5084;A1-Cardone-76106,interior,optional,1000,700,30,44,208,126,1966-1968 C10;1967 Chevrolet C10
chevy_camaro_1968_brake_rear_brake_shoe_set_b,Rear Brake Shoe Set,5461057,PBR-3366;A1-Cardone-99009,brake,critical,240,50,30,17,63,40,1967-1969 Camaro;1968 Dodge Charger
ford_mustang_1968_suspension_sway_bar_b,Sway Bar,5461064,PBR-8652;A1-Cardone-96609,suspension,standard,1000,30,30,39,126,82,1967-1969 Mustang;1968 Chevrolet Nova
dodge_charger_1969_engine_distributor_a,Distributor,5461071,PBR-2189;A1-Cardone-17933,engine,critical,200,120,250,43,182,112,1968-1970 Charger;1969 Dodge Charger
chevy_chevelle_1968_body_rear_bumper_b,Rear Bumper,5461078,PBR-7273;A1-Cardone-27506,body,optional,1700,200,150,117,534,326,1967-1969 Chevelle;1970 Chevrolet Nova
chevy_nova_1970_interior_center_console_b,Center Console,5461085,PBR-3097;A1-Cardone-69498,interior,optional,800,300,250,54,262,158,1969-1971 Nova;1972 Chevrolet Nova
chevy_c10_1972_brake_brake_wheel_cylinder_b,Brake Wheel Cylinder,5461092,PBR-1400;A1-Cardone-27443,brake,critical,90,40,40,11,50,30,1971-1973 C10;1968 Chevrolet Chevelle
chevy_camaro_1969_suspension_sway_bar_end_link_b,Sway Bar End Link,5461099,PBR-8099;A1-Cardone-72859,suspension,standard,180,40,40,7,28,18,1968-1970 Camaro;1970 Chevrolet Chevelle
ford_mustang_1965_engine_water_pump_b,Water Pump,5461106,PBR-8968;A1-Cardone-29634,engine,critical,220,180,150,36,134,85,1964-1966 Mustang;1970 Chevrolet Nova
dodge_charger_1970_body_grille_b,Grille,5461113,PBR-6432;A1-Cardone-95521,body,optional,1200,200,100,64,340,202,1969-1971 Charger;1968 Ford Mustang
chevy_chevelle_1970_interior_gauge_cluster_b,Gauge Cluster,5461120,PBR-5674;A1-Cardone-44733,interior,optional,400,200,150,79,384,232,1969-1971 Chevelle;1970 Chevrolet Nova
chevy_nova_1968_brake_brake_line_kit_b,Brake Line Kit,5461127,PBR-5882;A1-Cardone-99558,brake,critical,3000,10,10,25,88,56,1967-1969 Nova;1967 Ford Mustang
chevy_c10_1967_suspension_idler_arm_b,Idler Arm,5461134,PBR-5237;A1-Cardone-45298,suspension,standard,200,80,80,16,65,40,1966-1968 C10;1968 Chevrolet Camaro
chevy_camaro_1967_engine_oil_pump_b,Oil Pump,5461141,PBR-6932;A1-Cardone-79826,engine,critical,150,120,100,27,103,65,1966-1968 Camaro;1972 Chevrolet C10
ford_mustang_1966_body_headlight_bezel_b,Headlight Bezel,5461148,PBR-2854;A1-Cardone-83521,body,optional,250,150,100,20,93,56,1965-1967 Mustang;1968 Ford Mustang
dodge_charger_1968_interior_gear_shifter_b,Gear Shifter,5461155,PBR-2161;A1-Cardone-87822,interior,optional,300,100,200,36,165,100,1967-1969 Charger;1972 Chevrolet Nova
chevy_chevelle_1968_brake_parking_brake_cable_b,Parking Brake Cable,5461162,PBR-2757;A1-Cardone-82399,brake,critical,2500,8,8,14,56,35,1967-1969 Chevelle;1968 Dodge Charger
chevy_nova_1970_suspension_pitman_arm_b,Pitman Arm,5461169,PBR-9550;A1-Cardone-68625,suspension,standard,220,80,60,18,69,44,1969-1971 Nova;1967 Chevrolet C10
chevy_c10_1969_engine_fuel_pump_b,Fuel Pump,5461176,PBR-9922;A1-Cardone-75558,engine,critical,150,100,80,21,78,50,1968-1970 C10;1968 Ford Mustang
chevy_camaro_1968_body_taillight_lens_b,Taillight Lens,5461183,PBR-6249;A1-Cardone-77939,body,optional,300,120,80,15,81,48,1967-1969 Camaro;1969 Chevrolet Camaro
ford_mustang_1967_interior_pedal_set_b,Pedal Set,5461190,PBR-1473;A1-Cardone-95515,interior,optional,250,150,100,21,96,58,1966-1968 Mustang;1970 Chevrolet Nova
dodge_charger_1970_brake_proportioning_valve_b,Proportioning Valve,5461197,PBR-9732;A1-Cardone-78406,brake,critical,90,60,50,20,84,52,1969-1971 Charger;1966 Ford Mustang
chevy_chevelle_1970_suspension_tie_rod_end_b,Tie Rod End,5461204,PBR-2753;A1-Cardone-40145,suspension,standard,150,40,40,11,38,24,1969-1971 Chevelle;1966 Ford Mustang
chevy_nova_1972_engine_carburetor_b,Carburetor,5461211,PBR-4422;A1-Cardone-26073,engine,critical,280,220,180,138,507,322,1971-1973 Nova;1968 Chevrolet Camaro
chevy_c10_1972_body_door_shell_b,Door Shell,5461218,PBR-7089;A1-Cardone-34311,body,optional,1100,900,150,184,830,507,1971-1973 C10;1970 Chevrolet Chevelle
chevy_camaro_1969_interior_sun_visor_b,Sun Visor,5461225,PBR-5423;A1-Cardone-53609,interior,optional,400,150,20,10,43,26,1968-1970 Camaro;1966 Chevrolet Chevelle
ford_mustang_1965_brake_front_brake_caliper_c,Front Brake Caliper,5461232,PBR-4293;A1-Cardone-89803,brake,critical,180,95,120,44,175,110,1964-1966 Mustang;1968 Chevrolet Nova
dodge_charger_1968_suspension_front_coil_spring_c,Front Coil Spring,5461239,PBR-1988;A1-Cardone-14279,suspension,standard,380,150,150,45,156,100,1967-1969 Charger;1972 Chevrolet C10
chevy_chevelle_1966_engine_intake_manifold_b,Intake Manifold,5461246,PBR-1572;A1-Cardone-67461,engine,critical,600,280,150,124,466,295,1965-1967 Chevelle;1969 Dodge Charger
chevy_nova_1968_body_quarter_panel_b,Quarter Panel,5461253,PBR-4047;A1-Cardone-40949,body,optional,1500,900,300,226,976,601,1967-1969 Nova;1969 Dodge Charger
chevy_c10_1967_interior_front_bucket_seat_c,Front Bucket Seat,5461260,PBR-2190;A1-Cardone-35491,interior,optional,650,600,900,189,894,542,1966-1968 C10;1972 Chevrolet C10
chevy_camaro_1968_brake_rear_brake_caliper_c,Rear Brake Caliper,5461267,PBR-8478;A1-Cardone-35249,brake,critical,175,90,115,40,172,106,1967-1969 Camaro;1969 Chevrolet Camaro
ford_mustang_1966_engine_valve_cover_b,Valve Cover,5461274,PBR-3087;A1-Cardone-57070,engine,critical,520,200,100,27,120,74,1965-1967 Mustang;1966 Chevrolet Chevelle
dodge_charger_1969_body_rocker_panel_b,Rocker Panel,5461281,PBR-6992;A1-Cardone-41608,body,optional,1600,150,150,64,278,171,1968-1970 Charger;1968 Chevrolet Nova
chevy_chevelle_1970_brake_front_brake_rotor_c,Front Brake Rotor,5461288,PBR-4076;A1-Cardone-29326,brake,critical,280,280,25,29,117,73,1969-1971 Chevelle;1966 Ford Mustang
chevy_nova_1972_engine_timing_chain_b,Timing Chain,5461295,PBR-8416;A1-Cardone-14366,engine,critical,300,40,20,15,58,36,1971-1973 Nova;1965 Ford Mustang
chevy_c10_1972_body_floor_pan_b,Floor Pan,5461302,PBR-6928;A1-Cardone-44695,body,optional,1500,1000,50,95,441,268,1971-1973 C10;1969 Chevrolet C10
chevy_camaro_1967_brake_rear_brake_drum_c,Rear Brake Drum,5461309,PBR-9332;A1-Cardone-15681,brake,critical,280,280,90,38,119,78,1966-1968 Camaro;1968 Chevrolet Camaro
ford_mustang_1968_engine_timing_cover_b,Timing Cover,5461316,PBR-5147;A1-Cardone-96491,engine,critical,300,250,60,18,83,50,1967-1969 Mustang;1968 Dodge Charger
dodge_charger_1968_body_windshield_glass_b,Windshield Glass,5461323,PBR-7729;A1-Cardone-95439,body,optional,1400,700,6,113,451,282,1967-1969 Charger;1972 Chevrolet C10
chevy_chevelle_1968_brake_brake_master_cylinder_c,Brake Master Cylinder,5461330,PBR-4760;A1-Cardone-65943,brake,critical,220,90,90,52,207,130,1967-1969 Chevelle;1968 Chevrolet Chevelle
chevy_nova_1970_engine_piston_set_b,Piston Set,5461337,PBR-4939;A1-Cardone-42762,engine,critical,100,100,80,158,525,342,1969-1971 Nova;1968 Chevrolet Nova
chevy_c10_1969_body_rear_window_glass_b,Rear Window Glass,5461344,PBR-3795;A1-Cardone-16156,body,optional,1200,600,6,101,424,262,1968-1970 C10;1965 Ford Mustang
chevy_camaro_1969_brake_brake_booster_c,Brake Booster,5461351,PBR-1273;A1-Cardone-43389,brake,critical,230,230,150,68,248,158,1968-1970 Camaro;1970 Chevrolet Chevelle
ford_mustang_1966_engine_camshaft_b,Camshaft,5461358,PBR-2904;A1-Cardone-68014,engine,critical,550,60,60,103,399,251,1965-1967 Mustang;1968 Ford Mustang
dodge_charger_1970_body_side_mirror_b,Side Mirror,5461365,PBR-4157;A1-Cardone-96185,body,optional,200,120,80,14,67,40,1969-1971 Charger;1972 Chevrolet Nova
chevy_chevelle_1966_engine_lifter_set_b,Lifter Set,5461372,PBR-6565;A1-Cardone-34462,engine,critical,60,25,25,29,115,72,1965-1967 Chevelle;1966 Ford Mustang
chevy_nova_1970_engine_pushrod_set_b,Pushrod Set,5461379,PBR-8255;A1-Cardone-92240,engine,critical,200,10,10,19,82,50,1969-1971 Nova;1969 Chevrolet C10
chevy_c10_1972_engine_rocker_arm_set_b,Rocker Arm Set,5461386,PBR-4163;A1-Cardone-39199,engine,critical,80,40,40,32,127,80,1971-1973 C10;1966 Chevrolet Chevelle
chevy_camaro_1967_engine_head_gasket_b,Head Gasket,5461393,PBR-1339;A1-Cardone-40716,engine,critical,550,300,3,16,70,43,1966-1968 Camaro;1969 Chevrolet Camaro
ford_mustang_1967_engine_oil_pan_gasket_b,Oil Pan Gasket,5461400,PBR-8647;A1-Cardone-76323,engine,critical,600,350,3,8,30,19,1966-1968 Mustang;1967 Ford Mustang
dodge_charger_1970_engine_valve_cover_gasket_b,Valve Cover Gasket,5461407,PBR-1380;A1-Cardone-75608,engine,critical,520,200,3,7,24,16,1969-1971 Charger;1967 Chevrolet C10
chevy_chevelle_1966_engine_harmonic_balancer_b,Harmonic Balancer,5461414,PBR-7167;A1-Cardone-68286,engine,critical,200,200,80,40,161,100,1965-1967 Chevelle;1972 Chevrolet C10
chevy_nova_1970_engine_flywheel_b,Flywheel,5461421,PBR-4661;A1-Cardone-94014,engine,critical,350,350,30,66,242,154,1969-1971 Nova;1969 Chevrolet Camaro
chevy_c10_1972_engine_engine_mount_b,Engine Mount,5461428,PBR-8988;A1-Cardone-24636,engine,critical,150,100,90,13,54,34,1971-1973 C10;1970 Chevrolet Chevelle
chevy_camaro_1967_engine_distributor_b,Distributor,5461435,PBR-7774;A1-Cardone-84425,engine,critical,200,120,250,48,204,126,1966-1968 Camaro;1968 Ford Mustang
